1277,120,506,138559
8,72,54,13294
7,107,194,52192
10,79,14,91
3,57,8,120
3,59,13,131
6,61,14,116
1,null,null,116
73,49,11,122
24,138,891,230871
1674,67,416,138559
10,120,81,13294
10,73,177,52192
15,67,13,91
4,78,10,91
2,53,11,120
2,84,13,123
4,51,8,116
8,null,null,116
2,null,null,116
4,60,9,122
15,50,614,230871
61,118,1067,329842
9,65,64,13294
5,113,200,52192
22,73,294,99215
2,58,14,91
3,65,16,120
2,50,11,131
6,null,null,116
2,null,null,116
21,69,12,122
6,71,12,121
75,62,9,80
6,109,31,457
10,69,327,103389
2,51,7,17
58,53,11,80
469,52,13,446
11,119,37,457
26,53,294,103389
78,54,7,17
36,59,8,80
3,47,50,14546
23,81,318,103389
8,55,11,17
168,47,1600,585767
8,67,14,1192
31,45,7,42
198,73,17,2252
3,50,14,2266
5,61,21,4503
13,71,20,2272
150,72,20,2595
8,65,18,3428
38,47,212,76647
2,111,122,0
85,57,11,42
86,40,13,2262
11,44,14,2266
73,42,14,2262
4,36,13,2272
18,47,50,15485
94,37,19,3438
9,129,45,3428
1163,46,239,76647
14,54,11,73
53,62,12,42
6,46,13,2264
59,39,11,692
74,44,15,2270
2,42,19,4503
36,47,41,2266
2,38,13,2272
9,64,53,15485
259,72,22,3430
2,50,18,3428
41,63,1577,568356
17,114,431,125775
6,100,128,750
813,1927,650,125775
4,61,17,750
4033,74,254,85594
23,117,442,125775
5,107,137,750
383,67,15,606
2157,71,86,24793
20,57,79,24793
69,37,396,140729
5,47,57,16604
11,113,283,32968
10,61,339,120113
39,38,13,1144
5,40,55,16604
2,70,14,357
9,67,384,120113
3,64,14,1539
95,49,20,3741
4,42,11,1192
16,39,352,120113
10,73,19,1787
5,116,66,7210
10,119,95,19614
2075,76,19,1829
6,64,38,7210
2,67,75,19614
4,67,18,1829
6,121,55,7210
2,75,74,19614
1992,118,2879,1024509
36,72,518,159428
6,99,138,6516
5,54,32,8264
6,93,35,2122
5,87,37,3508
2,56,44,7469
3,65,23,2865
2,57,29,5088
2,49,24,3878
3,55,11,586
163,120,2949,1024509
22,48,502,159428
9,100,163,6516
7,54,14,1503
3,59,16,2122
2,44,18,3508
2,46,31,7469
6,94,38,2865
6,88,43,5088
3,52,21,3878
3,58,11,586
297,121,2940,1024509
40,62,517,159428
3,64,31,6516
4,43,19,3508
3,48,32,7469
7,92,37,2865
6,89,42,5088
3,57,21,3878
2,59,11,586
2382,52,2416,915045
11,71,16,238
16,65,510,168533
577,49,881,306774
155,null,null,19933
67,null,null,4380
13,null,null,4380
1,48,14,220
6,126,50,5933
47,null,null,6385
16,null,null,4380
15,null,null,1391
2,48,49,11709
31,117,49,5927
7,null,null,255
2,null,null,1823
30,83,50,11709
6,null,null,33875
1,81,15,969
1,null,null,11797
5,null,null,969
9,null,null,1391
4,null,null,71148
8,66,15,1192
13,106,128,244
3,59,33,9933
538,51,2386,915045
9,71,125,45295
5,69,11,238
164,51,60,15568
58,63,28,5415
3,null,null,33875
142,null,null,100115
116,null,null,6385
68,51,176,71148
4,null,null,71148
8,null,null,71148
4,68,33,5376
6,90,30,1192
3,61,16,244
82,null,null,4380
6,null,null,1823
4,null,null,255
5,null,null,33875
1,null,null,11797
16,null,null,969
3,null,null,6385
494,49,2369,915045
4,178,41,238
35,75,895,306774
38,51,12,969
31,45,188,71148
6,null,null,71148
14,null,null,1391
11,114,250,62185
1,63,12,30
5,null,null,30
18,null,null,71148
22,null,null,30
4,null,null,1391
5,108,128,1192
24,108,49,9051
7,68,21,4708
4,56,11,244
12,null,null,19933
5,null,null,11797
5,null,null,100115
4,null,null,33875
36,null,null,33875
2,null,null,11797
2,null,null,969
4,null,null,6385
1770,49,55,14199
