20,44,179,138559
60,36,404,329842
17,61,33,13294
4,54,81,52192
5,39,4,91
4,77,20,91
8,58,17,120
1,41,10,131
1,38,8,116
9,null,null,116
12,37,5,122
9,56,234,232503
192,38,402,329842
2,29,21,13294
8,60,104,52192
3,55,11,91
4,36,128,99215
7,87,17,91
3,45,8,120
2,50,7,123
3,33,6,116
5,null,null,116
2,30,5,122
20,78,115,121
247,33,194,138559
239,38,403,329842
2,30,22,13294
32,59,93,52192
8,36,6,1345
12,48,10,91
1,33,5,120
14,48,28,1319
4,66,13,123
5,null,null,118
6,27,232,232503
82,64,563,430593
3,29,19,14546
58,68,140,477
7,36,111,103548
3,37,5,17
11,39,5,80
11,59,141,133009
16,32,21,14546
2,34,7,446
4,72,61,477
11,37,139,103548
3,44,6,17
71,27,6,80
6,33,5,446
2,53,7,477
27,66,236,103548
8,43,6,17
2,24,44,0
17,26,6,73
48,23,4,42
1,23,6,2128
9,29,5,2145
1,21,9,4503
2,26,20,15485
33,23,11,2828
2,73,23,3448
3,28,44,0
4,57,11,73
33,26,6,2152
11,22,6,2150
2,27,21,4503
8,22,58,15485
2,29,7,2832
2,32,9,3448
83,29,676,585767
38,83,13,73
2,23,6,2146
1,23,5,692
5,23,6,2136
2,40,14,4504
12,49,20,15485
3,23,7,2828
1,47,13,3448
23,72,108,1192
158,61,681,568356
14,36,155,125775
5,63,89,750
223,36,641,568356
8,66,285,125775
4,48,13,750
21,35,637,568356
10,65,261,125775
6,48,15,750
34,39,39,24793
11,38,38,24793
81,39,42,24793
164,23,47,32968
3,22,7,1192
5,22,161,120113
146,21,186,140729
145,21,49,32968
11,21,6,1192
5,20,186,120113
69,27,49,32968
4,24,158,120113
6,38,8,1829
1,42,20,7210
2,43,29,19614
3,47,8,1829
1,45,15,7210
2,49,47,19614
3,41,8,1829
1,33,15,7210
3,58,50,19614
98,39,1193,1024509
106,59,230,159428
6,34,7,1503
2,47,16,2122
2,29,10,3508
1,27,16,7469
2,34,11,2865
2,28,12,5088
1,22,11,3878
1,22,5,586
434,38,1125,1024509
104,36,198,159428
56,33,15,6516
3,33,8,2122
1,29,13,3508
1,34,10,2865
3,53,20,5088
1,33,11,3878
1,32,8,586
203,37,1211,1024509
95,35,216,159428
56,31,15,6516
4,41,9,2122
2,27,17,7469
1,23,8,2865
1,30,13,5088
1,25,12,3878
0,24,4,586
2031,36,122,99520
13,36,6,238
16,30,4,38
4,33,55,41184
44,null,null,4380
8,null,null,4380
3,null,null,33875
3,24,82,62185
6,37,20,11709
10,62,84,34377
3,null,null,30
14,null,null,19933
5,36,13,5906
1,null,null,255
1,null,null,255
58,null,null,100115
26,56,19,6385
11,36,22,11709
89,null,null,6385
2,null,null,969
12,null,null,6385
66,null,null,1391
5,null,null,71148
3,null,null,71148
8,69,93,244
5,54,21,1192
5,59,30,9933
2,42,13,5018
991,37,994,915045
3,34,7,335
20,26,30,19930
4,null,null,4380
11,28,204,214492
1,27,5,165
2,26,4,23
63,null,null,4380
1,null,null,19933
4,null,null,33875
24,null,null,30
3,null,null,11797
1,null,null,19933
4,null,null,4380
163,42,9,3477
4,null,null,19933
5,34,13,5928
11,null,null,100115
2,null,null,19933
1,31,12,5930
10,null,null,100115
2,null,null,6385
2,null,null,6385
4,null,null,6385
17,null,null,71148
8,null,null,71148
6,null,null,71148
5,null,null,71148
2,60,74,5018
1,36,8,244
5,55,49,9933
2,null,null,4380
222,65,1049,915045
3,37,5,238
6,null,null,19933
6,null,null,19933
2,null,null,4380
1,null,null,4380
3,34,12,5923
0,38,4,23
3,null,null,1823
11,28,11,5916
14,null,null,100115
13,26,3,30
3,null,null,100115
1,30,5,220
26,null,null,11797
82,null,null,6385
65,null,null,255
3,37,6,969
5,63,23,3477
30,37,11,5693
149,null,null,1391
19,61,135,100112
5,null,null,19933
3,69,81,5928
5,null,null,100115
3,40,14,5907
6,null,null,100112
4,null,null,71148
4,null,null,6385
10,null,null,71148
1,36,14,9793
15,64,111,1192
5,67,24,244
3,null,null,4380
6,null,null,100115
